Path ,idx, Type,Logo,CompanyName,Email,CompanyProfile,LogoURL
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,0,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/0.jpg,Adam Khoo Learning Technologies Group Pte Ltd,celestine@akltg.com,"We are the region?s leading Personal and Professional Development organisation. Guided by our vision to inspire transformations in every organisation, we operate through our headquarters in Singapore as well as regional offices in Malaysia, Indonesia, Vietnam and China.    



Incorporated in Singapore in 2002,  we bring nearly a decade of experience and excellence in partnering individuals, schools and corporate organisations to realise and achieve their greatest potential. As the largest training company in Singapore, we have reached out to more than 115,000 people from over 180 organizations through our comprehensive range of unique, inspirational and dynamic programmes.



Our Professional Development unit partners with corporate, multinational, institutional and government clients to deliver customised, dynamic and high impact solutions.  In addition, the unit also offers series of corporate training programmes for staff, managers and leaders all year round.",1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,1,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/1.jpg,Tester,info@keymedia.com.au,"Bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla ..

bla bla bla bla bla bla bla bla bla bla bla bla ......",0
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,3,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/3.jpg,keymedia,manager@keymedia.com.au,"key media is .......bla bla bla bla bla bla bla bla 



reterterte

erterter",1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,4,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/4.jpg,asdf,aa@ss.c,"asdfasdfasdf

asdfasdf

asdfsadf

asdfsadf

sadf",0
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,5,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/5.jpg,sdaf,aa@ss.c,"asdfsadfsf

as

dfsdaf

asdfasdfsafsadfsfad

sdf",1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,6,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/6.jpg,tesatt,safd@ss.c,"adasfasf

asdfas

dfsf",1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,7,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/7.jpg,asdfasf,aasdf@ss.c,asfassf,0
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,8,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/8.jpg,asdf,ssdf@ss.c,asfsaf,0
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,9,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/9.jpg,asdfasf,asdf@ss.c,asdfasfasadfsafsafsfsafsaf,1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,10,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/10.jpg,sdfjl,sdlkj@ssc.c,lksdjflksdj,1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,11,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/11.jpg,sdf,sdf@ss.c,sdfsdf,1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,12,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/12.jpg,sdlkfj,sdjfkl@ss.c,klsdjflksdjf,1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,13,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/13.jpg,Service Quality Centre,shawn@sqcentre.com,"Service Quality (SQ) Centre Pte Ltd (SQ Centre) is an international management consulting and training company, with offices located in Singapore, Malaysia, Indonesia and China. Founded by Singapore Airlines & SPRING Singapore (The Standards, Productivity and Innovation Board) in 1990, we are proud to have played a vital role in assisting over 800 organisations locally and from 18 other countries around the world, in their journey towards corporate excellence.",1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,14,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/14.jpg,AchieveGlobal,marketing@achieveglobal.com.sg,"In the 21st century, the level of human skills will determine organization success. AchieveGlobal provides exceptional development in interpersonal business skills giving companies the workforce they need for business results. Located in over 40 countries, we offer multi-language, learning based solutions ? globally, regionally, and locally. We understand the competition you face. Your success depends on people who have the skills to handle the challenges beyond the reach of technology. We?re experts in developing these skills, and it?s these skills that turn your strategies into business success in the 21st century. These are things technology can?t do. Think. Learn. Solve problems. Listen. Motivate. Explain. People with these skills have bright future in the 21st century. AchieveGlobal prepares you for that world.",0
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,15,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/15.jpg,IP Academy,naveena_methani@ipacademy.com.sg,,1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,16,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/16.jpg,British Council,pdc-enquiry@britishcouncil.org.sg,"The British Council's Professional Development Centre (PDC) has been around for over 20 years. We started as a small Business Communications Unit and have developed into one of the leading soft-skills training providers in Singapore. Each year, we train over 8,000 participants from all business sectors both in Singapore and the region.",1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,17,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/17.jpg,Art of Voice Company Pte Ltd,pree@artofvoice.com,"Art of Voice? is proud to be Singapore's first and only company specialising in Voice Coaching and Voice Training Programmes designed to promote Effective Communication for executives and professionals, developed by experienced broadcasters and emcee.



Find out more at our website, www.artofvoice.com or call Pree at 6883 2331 for more information.",1
http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/,18,.jpg,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-logos/1224_courses/18.jpg,Institute for Adult Learning,info@ial.edu.sg,"IAL is the national Continuing Education and Training (CET) Centre for the adult education and training sector. We support the development of CET in Singapore by engaging with a variety of partners and stakeholders. We work with adult educators, curriculum developers and those in adult education management on their professional development. We partner with industry to ensure needs are met and engage with overseas and local experts to provide thought leadership for the sector.",1
